matrix,implementation,rows,cols,nnz,threads,blocks,time_min_ms,time_max_ms,time_avg_ms,time_geomean_ms,time_stddev_ms,gflopss_min,gflopss_max,gflopss_avg,gflopss_avg_geo,gflopss_std,bandwidth_min_gbs,bandwidth_max_gbs,bandwidth_avg_gbs,bandwidth_avg_gbs_geo,bandwidth_std,rmse_min,rmse_max,rmse_avg,rmse_geomean,rmse_stddev,raw_time_ms,raw_gflopss_ms,raw_bandwidth_gbs,raw_rmse
./Dataset/ASIC_680ks/ASIC_680ks.mtx,COO CPU,682712,682712,2329176,0,0,15.500000,28.118000,19.681797,19.380737,3.786667,0.165672,0.300539,0.243836,0.240360,0.042172,1.325372,2.404311,1.950688,1.922879,0.337372,0.000000,0.000000,0.000000,0.000000,0.000000,"22.000999;28.118000;18.690001;20.396999;22.143000;19.488001;18.150000;16.583000;15.748000;15.500000","0.211734;0.165672;0.249243;0.228384;0.210376;0.239037;0.256659;0.280911;0.295806;0.300539","1.693869;1.325372;1.993944;1.827073;1.683007;1.912295;2.053268;2.247290;2.366447;2.404311",""
./Dataset/ASIC_680ks/ASIC_680ks.mtx,COO NVDA,682712,682712,2329176,256,9099,1.618720,1.633280,1.624096,1.624088,0.005284,2.852145,2.877800,2.868301,2.868288,0.009307,22.817162,23.022398,22.946407,22.946301,0.074454,0.000319,0.000319,0.000319,0.000319,0.000000,"1.633280;1.620992;1.623040;1.633056;1.618944;1.625024;1.622848;1.618720;1.619968;1.625088","2.852145;2.873766;2.870140;2.852536;2.877402;2.866636;2.870480;2.877800;2.875583;2.866523","22.817162;22.990129;22.961121;22.820292;23.019213;22.933088;22.963837;23.022398;23.004662;22.932184","0.000319;0.000319;0.000319;0.000319;0.000319;0.000319;0.000319;0.000319;0.000319;0.000319"
./Dataset/ASIC_680ks/ASIC_680ks.mtx,COO cuSparse,682712,682712,2329176,0,0,1.085440,1.088384,1.087034,1.087033,0.000933,4.280063,4.291671,4.285383,4.285381,0.003677,34.240505,34.333370,34.283062,34.283051,0.029414,0.000606,0.000606,0.000606,0.000606,0.000000,"1.087392;1.086464;1.085440;1.086464;1.086464;1.086464;1.087456;1.088384;1.088320;1.087488","4.283967;4.287626;4.291671;4.287626;4.287626;4.287626;4.283716;4.280063;4.280314;4.283589","34.271740;34.301010;34.333370;34.301010;34.301010;34.301010;34.269726;34.240505;34.242516;34.268711","0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606"
./Dataset/ASIC_680ks/ASIC_680ks.mtx,CSR CPU,682712,682712,2329176,0,0,12.899000,13.620000,13.267500,13.265437,0.246954,0.342023,0.361141,0.351219,0.351165,0.006510,2.453143,2.590264,2.519102,2.518711,0.046690,0.000000,0.000000,0.000000,0.000000,0.000000,"13.531000;12.899000;13.620000;13.599000;13.173000;13.192000;13.090000;13.115000;13.092000;13.364000","0.344273;0.361141;0.342023;0.342551;0.353629;0.353119;0.355871;0.355193;0.355817;0.348575","2.469279;2.590264;2.453143;2.456931;2.536386;2.532732;2.552468;2.547603;2.552078;2.500135",""
./Dataset/ASIC_680ks/ASIC_680ks.mtx,CSR NVDA,682712,682712,2329176,256,2667,1.519616,1.544160,1.530349,1.530333,0.007292,3.016755,3.065480,3.044043,3.044012,0.014475,21.637529,21.987007,21.833248,21.833029,0.103823,0.000885,0.000885,0.000885,0.000885,0.000000,"1.527808;1.536832;1.523712;1.544160;1.527808;1.531904;1.537184;1.525632;1.528832;1.519616","3.049043;3.031140;3.057239;3.016755;3.049043;3.040890;3.030445;3.053391;3.047001;3.065480","21.869116;21.740704;21.927902;21.637529;21.869116;21.810642;21.735723;21.900307;21.854467;21.987007","0.000885;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885"
./Dataset/ASIC_680ks/ASIC_680ks.mtx,CSR Vector NVDA,682712,682712,2329176,256,85339,7.887872,7.892992,7.890326,7.890326,0.001940,0.590188,0.590571,0.590388,0.590388,0.000145,4.233098,4.235846,4.234528,4.234528,0.001041,0.000686,0.000686,0.000686,0.000686,0.000000,"7.889920;7.887872;7.891936;7.888896;7.892992;7.887872;7.890944;7.888896;7.892992;7.890944","0.590418;0.590571;0.590267;0.590495;0.590188;0.590571;0.590342;0.590495;0.590188;0.590342","4.234746;4.235846;4.233665;4.235296;4.233098;4.235846;4.234197;4.235296;4.233098;4.234197","0.000686;0.000686;0.000686;0.000686;0.000686;0.000686;0.000686;0.000686;0.000686;0.000686"
./Dataset/ASIC_680ks/ASIC_680ks.mtx,CSR cuSparse NVDA,682712,682712,2329176,0,0,0.992256,1.000320,0.994803,0.994801,0.002441,4.656862,4.694708,4.682712,4.682700,0.011461,33.401123,33.672569,33.586533,33.586441,0.082203,0.000606,0.000606,0.000606,0.000606,0.000000,"0.992256;0.994304;0.993280;0.993280;0.994304;0.996352;0.996352;0.995328;1.000320;0.992256","4.694708;4.685038;4.689868;4.689868;4.685038;4.675408;4.675408;4.680218;4.656862;4.694708","33.672569;33.603210;33.637856;33.637856;33.603210;33.534142;33.534142;33.568642;33.401123;33.672569","0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606"
./Dataset/bone010/bone010.mtx,COO CPU,986703,986703,36326512,0,0,175.037003,191.483994,179.375198,179.320801,4.724225,0.379421,0.415072,0.405276,0.405157,0.010228,3.035367,3.320579,3.242209,3.241254,0.081823,0.000000,0.000000,0.000000,0.000000,0.000000,"191.483994;177.643997;179.259995;179.824005;179.212006;175.806000;177.714005;175.037003;176.039001;181.731995","0.379421;0.408981;0.405294;0.404023;0.405403;0.413257;0.408820;0.415072;0.412710;0.399781","3.035367;3.271848;3.242353;3.232183;3.243221;3.306054;3.270559;3.320579;3.301678;3.198249",""
./Dataset/bone010/bone010.mtx,COO NVDA,986703,986703,36326512,256,141901,43.447296,43.569153,43.508308,43.508289,0.041604,1.667534,1.672210,1.669867,1.669866,0.001597,13.340268,13.377684,13.358935,13.358930,0.012775,0.007126,0.007139,0.007134,0.007134,0.000004,"43.464703;43.447296;43.554817;43.512833;43.514687;43.569153;43.535358;43.475967;43.470848;43.537407","1.671541;1.672210;1.668082;1.669692;1.669621;1.667534;1.668828;1.671108;1.671304;1.668749","13.372326;13.377684;13.344659;13.357535;13.356966;13.340268;13.350624;13.368862;13.370436;13.349996","0.007131;0.007139;0.007126;0.007133;0.007135;0.007137;0.007130;0.007137;0.007131;0.007137"
./Dataset/bone010/bone010.mtx,COO cuSparse,986703,986703,36326512,0,0,12.777472,12.786688,12.782593,12.782592,0.003481,5.681927,5.686025,5.683748,5.683748,0.001548,45.455418,45.488201,45.469982,45.469982,0.012382,0.006005,0.006005,0.006005,0.006005,0.000000,"12.786688;12.784640;12.786688;12.780544;12.777472;12.780544;12.777472;12.782592;12.785664;12.783616","5.681927;5.682837;5.681927;5.684658;5.686025;5.684658;5.686025;5.683747;5.682382;5.683292","45.455418;45.462696;45.455418;45.477264;45.488201;45.477264;45.488201;45.469978;45.459057;45.466335","0.006005;0.006005;0.006005;0.006005;0.006005;0.006005;0.006005;0.006005;0.006005;0.006005"
./Dataset/bone010/bone010.mtx,CSR CPU,986703,986703,36326512,0,0,127.331001,140.091995,134.065887,133.989746,4.757016,0.518609,0.570584,0.542537,0.542228,0.019326,3.168003,3.485497,3.314169,3.312282,0.118058,0.000000,0.000000,0.000000,0.000000,0.000000,"132.259995;137.453995;131.197006;140.091995;127.331001;133.729004;139.679001;132.574997;138.809006;127.532997","0.549320;0.528562;0.553770;0.518609;0.570584;0.543285;0.520143;0.548015;0.523403;0.569680","3.355601;3.228802;3.382789;3.168003;3.485497;3.318740;3.177369;3.347628;3.197284;3.479976",""
./Dataset/bone010/bone010.mtx,CSR NVDA,986703,986703,36326512,256,3855,37.961761,38.310913,38.097206,38.097095,0.097242,1.896405,1.913847,1.907054,1.907049,0.004856,11.584474,11.691022,11.649526,11.649491,0.029667,0.004203,0.004203,0.004203,0.004203,0.000000,"38.047745;38.310913;38.059010;38.088703;38.195202;38.018047;38.109184;38.068226;38.113281;37.961761","1.909523;1.896405;1.908957;1.907469;1.902151;1.911014;1.906444;1.908495;1.906239;1.913847","11.664601;11.584474;11.661149;11.652058;11.619569;11.673713;11.645796;11.658326;11.644544;11.691022","0.004203;0.004203;0.004203;0.004203;0.004203;0.004203;0.004203;0.004203;0.004203;0.004203"
./Dataset/bone010/bone010.mtx,CSR Vector NVDA,986703,986703,36326512,256,123338,18.124800,18.187040,18.150787,18.150780,0.018219,3.994769,4.008487,4.002751,4.002750,0.004016,24.402637,24.486439,24.451403,24.451389,0.024532,0.006481,0.006481,0.006481,0.006481,0.000000,"18.163712;18.134016;18.153473;18.124800;18.150400;18.141184;18.135040;18.187040;18.153473;18.164736","3.999900;4.006450;4.002156;4.008487;4.002833;4.004867;4.006224;3.994769;4.002156;3.999674","24.433981;24.473991;24.447762;24.486439;24.451900;24.464321;24.472610;24.402637;24.447762;24.432602","0.006481;0.006481;0.006481;0.006481;0.006481;0.006481;0.006481;0.006481;0.006481;0.006481"
./Dataset/bone010/bone010.mtx,CSR cuSparse NVDA,986703,986703,36326512,0,0,9.827328,9.851904,9.842175,9.842174,0.007148,7.374516,7.392959,7.381808,7.381807,0.005364,45.048325,45.160984,45.092873,45.092861,0.032765,0.006005,0.006005,0.006005,0.006005,0.000000,"9.844736;9.835520;9.846784;9.851904;9.827328;9.839616;9.838592;9.844736;9.843712;9.848832","7.379886;7.386800;7.378351;7.374516;7.392959;7.383726;7.384494;7.379886;7.380653;7.376816","45.081123;45.123367;45.071751;45.048325;45.160984;45.104584;45.109280;45.081123;45.085815;45.062374","0.006005;0.006005;0.006005;0.006005;0.006005;0.006005;0.006005;0.006005;0.006005;0.006005"
./Dataset/boyd2/boyd2.mtx,COO CPU,466316,466316,890091,0,0,4.269000,4.411000,4.309900,4.309690,0.044982,0.403578,0.417002,0.413085,0.413065,0.004260,3.228623,3.336017,3.304679,3.304519,0.034078,0.000000,0.000000,0.000000,0.000000,0.000000,"4.411000;4.269000;4.288000;4.281000;4.331000;4.357000;4.301000;4.306000;4.269000;4.286000","0.403578;0.417002;0.415154;0.415833;0.411033;0.408580;0.413900;0.413419;0.417002;0.415348","3.228623;3.336017;3.321235;3.326666;3.288260;3.268638;3.311196;3.307352;3.336017;3.322785",""
